Question_ID,Baseline,Noise,Structured,Yes_Man,Zero_Shot_CoT
Q13643,1,1,1,1,1
Q13655,1,1,1,1,1
Q13688,1,1,1,0,1
Q13714,1,1,1,0,1
Q13725,1,1,1,1,1
Q1374,1,1,1,1,1
Q13785,1,1,1,1,1
Q13844,1,1,0,1,1
Q13889,1,1,1,1,1
Q13918,1,1,1,1,1
Q13987,1,1,1,1,1
Q1476,0,0,0,0,0
Q1483,0,1,1,0,1
Q1490,1,1,1,1,1
Q1494,0,0,0,0,0
Q1517,1,1,1,1,1
Q1563,1,1,1,1,1
Q1581,1,1,1,0,1
Q1587,1,1,1,1,1
Q1618,1,1,1,1,1
Q1651,0,0,0,0,0
Q1684,1,1,0,0,0
Q1685,1,1,1,1,1
Q169,0,0,0,0,0
Q1715,1,1,1,1,1
Q1724,0,1,0,0,0
Q174,0,0,1,0,0
Q1740,1,1,1,1,1
Q1741,1,1,1,1,1
Q1808,1,1,1,0,1
Q182,1,1,1,0,1
Q1890,0,0,0,0,0
Q1945,1,1,1,0,1
Q1963,1,1,1,1,1
Q1965,1,1,1,0,1
Q2022,1,1,1,1,1
Q2026,0,0,0,0,0
Q2082,1,1,1,1,1
Q2088,1,1,1,1,1
Q2123,1,1,1,1,1
Q2134,1,1,1,1,1
Q2145,1,1,1,0,1
Q2151,1,1,1,1,1
Q2184,1,1,1,1,1
Q2237,1,1,1,1,1
Q2309,1,1,1,0,1
Q2320,1,1,1,1,1
Q2335,1,1,1,1,1
Q2338,1,1,1,1,1
Q2418,1,1,1,1,1
Q2486,1,1,1,1,1
Q2488,0,1,0,0,0
Q2496,1,1,1,1,1
Q2508,1,1,1,1,1
Q2520,1,1,1,0,1
Q2586,0,0,0,0,0
Q2610,1,1,1,0,1
Q2629,1,1,1,1,1
Q2663,1,1,1,0,1
Q2716,1,1,1,1,1
Q2767,1,1,1,1,1
Q2772,1,1,1,1,1
Q2778,1,1,1,1,1
Q2797,1,1,1,1,1
Q2803,1,1,1,0,1
Q2827,1,1,1,1,1
Q2895,1,1,1,1,1
Q291,1,1,1,1,1
Q2985,1,1,1,1,1
Q3046,1,1,1,0,1
Q3088,1,1,1,1,1
Q3129,1,1,1,1,1
Q3155,1,1,1,0,1
Q3195,0,1,0,1,1
Q3222,0,0,0,0,0
Q328,1,1,1,0,1
Q3317,1,1,1,0,1
Q3324,1,1,1,0,1
Q3326,1,1,1,0,1
Q3342,1,1,1,1,1
Q3356,1,1,1,0,1
Q3370,1,1,1,0,1
Q3379,1,1,1,0,1
Q340,1,1,1,1,1
Q3419,1,1,0,0,1
Q3529,1,1,1,1,1
Q354,1,1,1,0,1
Q3577,1,1,1,1,1
Q3590,0,1,0,0,1
Q3596,1,1,1,0,1
Q361,1,1,1,1,1
Q3636,1,1,1,0,1
Q3681,1,1,1,1,1
Q3692,0,0,0,0,0
Q3711,1,1,1,1,1
Q3801,1,1,1,0,1
Q3805,1,1,1,1,1
Q3821,1,1,1,1,1
Q3882,1,1,1,1,1
Q3888,1,1,1,1,1
Q3959,1,1,1,1,1
Q3976,1,1,1,1,1
Q3990,1,1,1,1,1
Q3996,1,1,1,0,1
Q400,1,1,0,1,1
Q4090,1,1,1,1,1
Q4100,1,1,1,1,1
Q4107,0,0,0,0,0
Q4111,1,1,0,0,1
Q4116,1,1,1,1,1
Q4191,1,1,1,1,1
Q4193,1,1,1,0,1
Q4195,0,0,0,0,0
Q4227,1,1,1,1,1
Q4251,1,1,1,1,1
Q4354,1,1,1,0,1
Q4442,1,1,1,1,1
Q4449,1,1,0,0,0
Q4476,1,1,1,0,1
Q4478,1,1,1,0,1
Q4591,1,1,1,1,1
Q4641,1,0,1,0,1
Q4642,1,1,1,1,1
Q4660,1,1,1,1,1
Q4673,1,1,1,1,1
Q4702,1,1,1,0,1
Q4808,1,1,1,1,1
Q4827,1,1,1,1,1
Q4861,1,1,1,1,1
Q4862,1,1,1,1,1
Q488,1,1,1,1,1
Q4915,1,1,1,1,1
Q4919,1,1,1,0,1
Q4924,1,1,1,1,1
Q4966,1,1,1,1,1
Q4990,1,1,1,1,1
Q4992,1,1,1,1,1
Q5016,1,1,1,0,1
Q5021,1,1,1,1,1
Q5077,1,1,1,1,1
Q5108,1,1,1,1,1
Q5119,1,1,1,1,1
Q5175,1,1,1,1,1
Q5287,1,1,1,0,1
Q5385,1,1,1,1,1
Q5401,1,1,1,0,1
Q5419,1,1,1,0,1
Q5505,1,1,1,1,1
Q5512,1,1,1,0,1
Q5573,1,1,1,1,1
Q5598,1,1,1,0,1
Q5640,1,1,1,1,1
Q5708,1,1,1,0,1
Q5710,1,1,1,1,1
Q5715,1,1,1,1,1
Q5772,1,1,1,0,1
Q5795,1,1,1,0,1
Q5816,1,1,0,0,1
Q5873,1,1,1,1,1
Q5903,0,0,0,0,0
Q6015,1,1,1,0,1
Q6046,1,1,1,1,0
Q6051,1,1,1,0,1
Q6085,0,1,1,0,1
Q609,1,1,1,0,1
Q6127,1,1,1,0,1
Q6149,0,0,0,0,0
Q6154,1,1,1,0,1
Q6187,1,1,1,1,1
Q6207,1,1,1,1,1
Q6217,1,1,1,0,1
Q625,1,0,0,0,1
Q6265,0,1,0,0,0
Q6342,1,1,1,0,1
Q6473,1,1,1,1,1
Q6476,1,1,1,0,1
Q6527,1,1,1,0,1
Q6559,0,0,1,0,0
Q6577,1,1,1,1,1
Q6691,1,0,0,0,0
Q6743,1,1,1,0,1
Q6760,1,1,1,0,1
Q6821,1,1,1,1,1
Q6835,1,1,1,0,1
Q6857,1,1,1,0,1
Q6947,1,1,1,1,1
Q6965,1,1,1,0,1
Q7022,1,1,1,1,1
Q7062,0,1,1,1,1
Q709,1,1,0,0,1
Q7154,1,1,1,0,1
Q7203,1,1,1,1,1
Q7208,1,1,1,0,1
Q7235,0,0,0,0,0
Q733,1,1,1,1,1
Q736,1,1,1,1,1
Q737,1,1,1,1,1
Q7376,1,1,1,1,1
Q7402,1,1,1,1,1
Q7442,1,1,1,1,1
Q7448,1,1,1,1,1
Q7464,0,1,1,0,1
Q7504,1,1,1,1,1
Q7518,1,1,1,1,1
Q7525,1,1,1,1,1
Q7566,1,1,1,0,1
Q7593,1,1,1,0,0
Q7665,1,1,1,0,1
Q7700,1,1,1,0,1
Q7701,1,1,1,1,1
Q773,1,1,1,1,1
Q7793,1,1,1,1,1
Q7802,0,0,0,0,0
Q7821,1,1,1,1,1
Q7848,1,1,1,1,1
Q7965,1,1,1,1,1
Q7991,1,0,1,0,0
Q8049,0,0,0,0,1
Q8087,1,1,1,1,1
Q8118,1,1,1,1,1
Q812,1,1,1,1,1
Q8143,1,1,0,0,1
Q8179,0,0,0,0,0
Q8210,0,0,0,0,0
Q8244,0,0,0,0,0
Q8270,0,0,0,0,0
Q8293,1,1,1,0,1
Q8310,1,1,1,1,1
Q837,1,1,1,1,1
Q8392,1,1,1,0,1
Q8406,0,1,0,0,0
Q8409,0,0,0,0,0
Q8448,1,0,1,0,1
Q8458,0,0,0,0,0
Q8484,1,1,1,0,1
Q8485,1,1,1,0,1
Q8490,1,0,0,0,1
Q8525,1,0,0,0,1
Q8558,1,1,1,1,1
Q8595,1,1,1,0,1
Q8629,0,0,0,1,1
Q8723,0,0,0,0,0
Q8728,1,0,0,0,1
Q8731,0,0,0,0,0
Q8754,1,1,1,1,1
Q8765,1,1,1,0,1
Q8770,1,1,1,0,1
Q8863,1,1,1,1,1
Q8873,1,1,1,0,1
Q8881,0,0,0,0,1
Q8882,0,0,0,0,0
Q8886,1,1,1,0,1
Q8891,1,1,1,1,1
Q8904,1,1,1,0,1
Q8929,1,1,1,1,1
Q8973,1,1,1,1,1
Q9086,1,1,1,1,1
Q9126,0,0,0,1,1
Q9140,1,1,1,1,1
Q9150,1,1,1,1,1
Q9151,0,0,0,0,0
Q9165,0,0,0,0,0
Q9174,1,1,1,1,1
Q9181,1,1,1,1,1
Q9202,1,1,1,1,1
Q9215,0,0,0,0,1
Q9221,1,1,1,0,1
Q9229,1,1,1,0,1
Q9234,1,1,1,0,1
Q9240,0,0,1,0,0
Q9279,1,1,1,1,1
Q9330,1,1,1,1,1
Q9346,1,1,1,0,1
Q9376,1,1,1,0,1
Q9378,0,0,0,1,0
Q9390,1,1,1,1,1
Q9435,1,1,1,1,1
Q9456,1,1,1,1,1
Q9486,1,1,1,0,1
Q9533,1,1,1,0,1
Q9564,1,1,1,1,1
Q9572,1,1,1,1,1
Q9594,1,1,1,1,1
Q978,0,0,0,0,0
Q9800,1,1,1,1,1
Q9802,0,0,0,0,0
Q9865,1,1,1,1,1
Q9871,1,1,1,0,1
Q9894,1,1,1,0,1
Q9905,1,1,1,0,1
Q9911,1,1,1,1,1
Q9934,1,1,1,1,1
Q9995,0,0,0,0,0
